No.,"Fine
Aggregate","Coarse
Aggregate",Fly ash,Cement,Slag,Water,Superplasticizer,Age,"Compressive 
Strength"
,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,days,mpa
1,677,1230,0,440,0,167,8.8,28,49
2,677,1230,0,440,0,167,8.8,90,55
3,677,1230,0,440,0,167,8.8,180,56
4,677,1230,0,440,0,167,8.8,365,60
5,621,1232,132,308,0,167,8.8,28,48
6,621,1232,132,308,0,167,8.8,90,55
7,621,1232,132,308,0,167,8.8,180,65
8,621,1232,132,308,0,167,8.8,365,68
9,613,1270,88,308,22,167,8.8,28,52
10,613,1270,88,308,22,167,8.8,90,58
11,613,1270,88,308,22,167,8.8,180,63
12,613,1270,88,308,22,167,8.8,365,64
13,613,1270,66,308,33,167,8.8,28,51
14,613,1270,66,308,33,167,8.8,90,59
15,613,1270,66,308,33,167,8.8,180,64
16,613,1270,66,308,33,167,8.8,365,67
17,647,1177,220,220,0,167,8.8,28,34
18,647,1177,220,220,0,167,8.8,90,43
19,647,1177,220,220,0,167,8.8,180,44
20,647,1177,220,220,0,167,8.8,365,44.5
21,603,1270,132,220,44,167,8.8,28,56
22,603,1270,132,220,44,167,8.8,90,62
23,603,1270,132,220,44,167,8.8,180,69.5
24,603,1270,132,220,44,167,8.8,365,74
25,603,1270,88,220,66,167,8.8,28,43
26,603,1270,88,220,66,167,8.8,90,47
27,603,1270,88,220,66,167,8.8,180,48
28,603,1270,88,220,66,167,8.8,365,50
29,603,1270,66,220,66,167,8.8,28,34
30,603,1270,66,220,66,167,8.8,90,43
31,603,1270,66,220,66,167,8.8,180,43.5
32,603,1270,66,220,66,167,8.8,365,45
33,868.5,888.2,130.3,318.5,86.8,129.4,20.6,3,37.14
34,868.5,888.2,130.3,318.5,86.8,129.4,20.6,7,52.19
35,868.5,888.2,130.3,318.5,86.8,129.4,20.6,28,59.94
36,868.5,888.2,130.3,318.5,86.8,129.4,20.6,56,64.61
37,868.5,888.2,130.3,318.5,86.8,129.4,20.6,91,69.87
38,868.5,888.2,130.3,318.5,86.8,129.4,20.6,180,78.64
39,868.5,888.2,130.3,318.5,86.8,134,16,3,29.2
40,868.5,888.2,130.3,318.5,86.8,134,16,7,41.69
41,868.5,888.2,130.3,318.5,86.8,134,16,28,60.83
42,868.5,888.2,130.3,318.5,86.8,134,16,56,66.34
43,868.5,888.2,130.3,318.5,86.8,134,16,91,71.86
44,868.5,888.2,130.3,318.5,86.8,134,16,180,74.59
45,868.5,888.2,130.3,318.5,86.8,127,23,3,24.53
46,868.5,888.2,130.3,318.5,86.8,127,23,7,59.94
47,868.5,888.2,130.3,318.5,86.8,127,23,28,68.27
48,868.5,888.2,130.3,318.5,86.8,127,23,56,73.39
49,868.5,888.2,130.3,318.5,86.8,127,23,91,83.12
50,868.5,888.2,130.3,318.5,86.8,127,23,180,86.97
51,896.6,916.9,134.5,244.6,89.7,130,20,3,28.24
52,896.6,916.9,134.5,244.6,89.7,130,20,7,40.6
53,896.6,916.9,134.5,244.6,89.7,130,20,28,53.5
54,896.6,916.9,134.5,244.6,89.7,130,20,56,57.25
55,896.6,916.9,134.5,244.6,89.7,130,20,91,65.36
56,896.6,916.9,134.5,244.6,89.7,130,20,180,75.37
57,896.6,916.9,134.5,244.6,89.7,136,14,3,18.12
58,896.6,916.9,134.5,244.6,89.7,136,14,7,37.27
59,896.6,916.9,134.5,244.6,89.7,136,14,28,53.98
60,896.6,916.9,134.5,244.6,89.7,136,14,56,62.12
61,896.6,916.9,134.5,244.6,89.7,136,14,91,65.51
62,896.6,916.9,134.5,244.6,89.7,136,14,180,68.87
63,896.6,916.9,134.5,244.6,89.7,130,20,3,21.32
64,896.6,916.9,134.5,244.6,89.7,130,20,7,50.33
65,896.6,916.9,134.5,244.6,89.7,130,20,28,63.21
66,896.6,916.9,134.5,244.6,89.7,130,20,56,65.26
67,896.6,916.9,134.5,244.6,89.7,130,20,91,77.1
68,896.6,916.9,134.5,244.6,89.7,130,20,180,81.2
69,918.4,939.3,137.8,187.1,91.8,130.5,19.5,3,20.49
70,918.4,939.3,137.8,187.1,91.8,130.5,19.5,7,34.01
71,918.4,939.3,137.8,187.1,91.8,130.5,19.5,28,51.87
72,918.4,939.3,137.8,187.1,91.8,130.5,19.5,56,54.69
