"Serial
No",cement,flyash,slag (GGBS),MK,TCM,water,water/ TCM,SP,Coarse Agg.,SAND (fine agg.),AGE,Compresive Strength
1,550,0,0,0,550,165,0.3,3.3,0,607,7,49.71
2,385,165,0,0,550,148,0.26,6.05,0,729,7,18.53
3,275,275,0,0,550,146,0.26,5.5,0,745,7,15.09
4,165,385,0,0,550,172,0.3,4.4,0,757,7,6.34
5,385,0,165,0,550,155,0.28,6.6,0,815,7,42.83
6,275,0,275,0,550,162,0.29,6.05,0,789,7,46.49
7,165,0,385,0,550,172,0.31,4.4,0,729,7,38.28
8,509,0,0,41,550,221,0.4,4.4,0,734,7,39.12
9,468,0,0,82,550,197,0.35,6.05,0,760,7,35.71
10,550,0,0,0,550,165,0.3,3.3,0,607,14,56.53
11,385,165,0,0,550,148,0.26,6.05,0,729,14,28.05
12,275,275,0,0,550,146,0.26,5.5,0,745,14,23.65
13,165,385,0,0,550,172,0.31,4.4,0,757,14,7.08
14,385,0,165,0,550,155,0.28,6.6,0,815,14,55.49
15,275,0,275,0,550,162,0.29,6.05,0,789,14,52.53
16,165,0,385,0,550,172,0.31,4.4,0,729,14,44.56
17,509,0,0,41,550,221,0.4,4.4,0,734,14,42.5
18,468,0,0,82,550,197,0.35,6.05,0,760,14,42.81
19,550,0,0,0,550,165,0.3,3.3,0,607,28,59.43
20,385,165,0,0,550,148,0.26,6.05,0,729,28,35.5
21,275,275,0,0,550,146,0.26,5.5,0,745,28,46.48
22,165,385,0,0,550,172,0.31,4.4,0,757,28,14.11
23,385,0,165,0,550,155,0.28,6.6,0,815,28,61.11
24,275,0,275,0,550,162,0.29,6.05,0,789,28,59
25,165,0,385,0,550,172,0.31,4.4,0,729,28,47.69
26,509,0,0,41,550,221,0.4,4.4,0,734,28,43
27,468,0,0,82,550,197,0.35,6.05,0,760,28,70.92
28,550,0,0,0,550,165,0.3,3.3,0,607,56,63.05
29,385,165,0,0,550,148,0.26,6.05,0,729,56,50.55
30,275,275,0,0,550,146,0.26,5.5,0,745,56,55.28
31,165,385,0,0,550,172,0.31,4.4,0,757,56,21.83
32,385,0,165,0,550,155,0.28,6.6,0,815,56,64.68
33,275,0,275,0,550,162,0.29,6.05,0,789,56,61.14
34,165,0,385,0,550,172,0.31,4.4,0,729,56,49.65
35,509,0,0,41,550,221,0.4,4.4,0,734,56,50.33
36,468,0,0,82,550,197,0.35,6.05,0,760,56,73.76
37,378,0,0,0,378,170,0.45,0.56,1124,726,3,15
38,309,0,0,0,309,170,0.55,0,1159,749,3,14
39,262,0,0,0,262,170,0.65,0,1184,764,3,10
40,227,0,0,0,227,170,0.75,0,1202,776,3,8
41,378,0,0,0,378,170,0.45,0.75,0,653,3,15
42,309,0,0,0,309,170,0.55,0.61,0,674,3,12
43,262,0,0,0,262,170,0.65,0.52,0,688,3,8
44,227,0,0,0,227,170,0.75,0.34,0,700,3,6
45,378,0,0,0,378,170,0.45,0.56,1124,726,7,28
46,309,0,0,0,309,170,0.55,0,1159,749,7,20
47,262,0,0,0,262,170,0.65,0,1184,764,7,15
48,227,0,0,0,227,170,0.75,0,1202,776,7,14
49,378,0,0,0,378,170,0.45,0.75,0,653,7,23
50,309,0,0,0,309,170,0.55,0.62,0,674,7,18
51,262,0,0,0,262,170,0.65,0.52,0,688,7,14
52,227,0,0,0,227,170,0.75,0.34,0,700,7,10
53,378,0,0,0,378,170,0.45,0.56,1124,726,28,43
54,309,0,0,0,309,170,0.55,0,1159,749,28,36
55,262,0,0,0,262,170,0.65,0,1184,764,28,26
56,227,0,0,0,227,170,0.75,0,1202,776,28,23
57,378,0,0,0,378,170,0.45,0.75,0,653,28,39
58,309,0,0,0,309,170,0.55,0.62,0,674,28,22
59,262,0,0,0,262,170,0.65,0.52,0,688,28,22
60,227,0,0,0,227,170,0.75,0.34,0,700,28,17
61,385,165,0,0,550,148,0.26,6.05,0,550,7,16
62,275,275,0,0,550,146,0.26,5.5,0,547,7,15
63,165,385,0,0,550,172,0.31,4.4,0,544,7,6.34
64,385,165,0,0,550,148,0.26,6.05,0,550,14,23.5
65,275,275,0,0,550,146,0.26,5.5,0,547,14,23
66,165,385,0,0,550,172,0.31,4.4,0,544,14,6.5
67,385,165,0,0,550,148,0.26,6.05,0,550,28,30
68,275,275,0,0,550,146,0.26,5.5,0,547,28,38
69,165,385,0,0,550,172,0.31,4.4,0,544,28,10
70,385,165,0,0,550,148,0.269,6.05,0,550,56,42
71,275,275,0,0,550,146,0.26,5.5,0,547,56,45
72,165,385,0,0,550,172,0.31,4.4,0,544,56,18
73,385,0,165,0,550,155,0.28,6.6,0,539,7,33
74,275,0,275,0,550,162,0.29,6.05,0,528,7,40
75,165,0,385,0,550,172,0.31,4.4,0,516,7,31
76,385,0,165,0,550,155,0.28,6.6,0,539,14,48
77,275,0,275,0,550,162,0.3,6.05,0,528,14,46
78,165,0,385,0,550,172,0.31,4.4,0,516,14,43
79,385,0,165,0,550,155,0.28,6.6,0,539,28,53
80,275,0,275,0,550,162,0.3,6.05,0,528,28,51
81,165,0,385,0,550,172,0.31,4.4,0,516,28,45
82,385,0,165,0,550,155,0.28,6.6,0,539,56,60
83,275,0,275,0,550,162,0.3,6.05,0,528,56,58
84,165,0,385,0,550,172,0.31,4.4,0,516,56,47
85,509,0,0,41,550,221,0.4,4.4,0,553,7,37.5
86,468,0,0,82,550,197,0.35,6.05,0,550,7,34
87,509,0,0,41,550,221,0.4,4.4,0,553,14,40
88,468,0,0,82,550,197,0.35,6.05,0,550,14,43
89,509,0,0,41,550,221,0.4,4.4,0,553,28,37
90,468,0,0,82,550,197,0.35,6.05,0,550,28,58
91,509,0,0,41,550,221,0.4,4.4,0,553,56,48
92,468,0,0,82,550,197,0.35,6.05,0,550,56,60
93,680,0,0,0,680,170,0.25,2.04,0,562,3,45
94,480,0,0,0,480,170,0.35,1.2,0,620,3,33.69
95,378,0,0,0,378,170,0.45,0.756,0,653,3,20
96,309,0,0,0,309,170,0.55,0.309,0,674,3,14.81
97,262,0,0,0,262,170,0.65,0,0,688,3,13
98,227,0,0,0,227,170,0.75,0,0,699,3,9.85
99,680,0,0,0,680,170,0.25,2.04,0,562,7,50.46
100,480,0,0,0,480,170,0.35,1.2,0,620,7,38.6
101,378,0,0,0,378,170,0.45,0.756,0,653,7,26.9
102,309,0,0,0,309,170,0.55,0.309,0,674,7,20
103,262,0,0,0,262,170,0.65,0,0,688,7,16
104,227,0,0,0,227,170,0.75,0,0,699,7,14.6
105,680,0,0,0,680,170,0.25,2.04,0,562,28,64.15
106,480,0,0,0,480,170,0.35,1.2,0,620,28,49.77
107,378,0,0,0,378,170,0.45,0.75,0,653,28,37.1
108,309,0,0,0,309,170,0.55,0.3,0,674,28,28.07
109,262,0,0,0,262,170,0.65,0,0,688,28,20
110,227,0,0,0,227,170,0.75,0,0,699,28,18
111,680,0,0,0,680,170,0.25,2.04,0,562,90,65.32
112,480,0,0,0,480,170,0.35,1.2,0,620,90,50.85
113,378,0,0,0,378,170,0.45,0.75,0,653,90,40.38
114,309,0,0,0,309,170,0.55,0.3,0,674,90,31.01
115,262,0,0,0,262,170,0.65,0,0,688,90,21.01
116,227,0,0,0,227,170,0.75,0,0,699,90,20
117,340,0,340,0,680,170,0.25,2.38,0,551,3,30
118,243,0,243,0,486,170,0.35,1.215,0,612,3,19.62
119,189,0,189,0,378,170,0.45,0.756,0,647,3,14.32
120,155,0,155,0,310,170,0.55,0.465,0,669,3,13.5
121,131,0,131,0,262,170,0.65,0.262,0,684,3,12
122,113,0,113,0,226,170,0.75,0,0,695,3,9
123,340,0,340,0,680,170,0.25,2.38,0,551,7,37
124,243,0,243,0,486,170,0.35,1.215,0,612,7,27
125,189,0,189,0,378,170,0.45,0.756,0,647,7,19.74
126,155,0,155,0,310,170,0.55,0.46,0,669,7,15
127,131,0,131,0,262,170,0.65,0.26,0,684,7,11
128,113,0,113,0,226,170,0.75,0,0,695,7,10
129,340,0,340,0,680,170,0.25,2.38,0,551,28,60
130,243,0,243,0,486,170,0.35,1.21,0,612,28,43
131,189,0,189,0,378,170,0.45,0.75,0,647,28,30.28
132,155,0,155,0,310,170,0.55,0.46,0,669,28,24.43
133,131,0,131,0,262,170,0.65,0.26,0,684,28,18.77
134,113,0,113,0,226,170,0.75,0,0,695,28,16.34
135,340,0,340,0,680,170,0.25,2.38,0,551,90,68
136,243,0,243,0,486,170,0.35,1.21,0,612,90,55
137,189,0,189,0,378,170,0.45,0.75,0,647,90,43
138,155,0,155,0,310,170,0.55,0.46,0,669,90,34
139,131,0,131,0,262,170,0.65,0.26,0,684,90,23.5
140,113,0,113,0,226,170,0.75,0,0,695,90,21.3
141,476,204,0,0,680,170,0.25,1.7,0,539,3,25
142,340,146,0,0,486,170,0.35,0.97,0,604,3,16
143,264,113,0,0,377,170,0.45,0.55,0,641,3,10
144,216,93,0,0,309,170,0.55,0.3,0,663,3,9
145,183,76,0,0,259,170,0.65,0,0,679,3,7
146,159,68,0,0,227,170,0.75,0,0,691,3,6
147,476,204,0,0,680,170,0.25,1.7,0,539,7,40
148,340,146,0,0,486,170,0.35,0.97,0,604,7,29
149,264,113,0,0,377,170,0.45,0.56,0,641,7,22
150,216,93,0,0,309,170,0.55,0.3,0,663,7,18
151,183,76,0,0,259,170,0.65,0,0,679,7,15
152,159,68,0,0,227,170,0.75,0,0,691,7,12
153,476,204,0,0,680,170,0.25,1.7,0,539,28,55
154,340,146,0,0,486,170,0.35,0.72,0,604,28,41
155,264,113,0,0,377,170,0.45,0.56,0,641,28,34.5
156,216,93,0,0,309,170,0.55,0.31,0,663,28,29.01
157,183,76,0,0,259,170,0.65,0,0,679,28,18.3
158,159,68,0,0,227,170,0.75,0,0,691,28,11.23
159,476,204,0,0,680,170,0.25,1.7,0,539,90,63
160,340,146,0,0,486,170,0.35,0.97,0,604,90,46
161,264,113,0,0,377,170,0.45,0.56,0,641,90,37.9
162,216,93,0,0,309,170,0.55,0.3,0,663,90,31.61
163,183,76,0,0,259,170,0.65,0,0,679,90,21.59
164,159,68,0,0,227,170,0.75,0,0,691,90,14.78
165,680,0,0,0,680,170,0.25,2.04,0,562,3,45
166,480,0,0,0,480,170,0.35,1.2,0,620,3,32.26
167,612,0,0,68,680,170,0.25,1.95,0,558,3,59.69
168,578,0,0,102,680,170,0.25,3.46,0,555,3,50.43
169,437,0,0,49,486,170,0.35,1.96,0,617,3,34.15
170,413,0,0,73,486,170,0.35,2.06,0,616,3,36.45
171,680,0,0,0,680,170,0.25,2.04,0,562,7,50.46
172,480,0,0,0,480,170,0.35,1.2,0,620,7,38.6
173,612,0,0,68,680,170,0.25,1.95,0,558,7,61.66
174,578,0,0,102,680,170,0.25,3.46,0,555,7,53.52
175,437,0,0,49,486,170,0.35,1.96,0,617,7,38.27
176,413,0,0,73,486,170,0.35,2.06,0,616,7,42.95
177,680,0,0,0,680,170,0.25,2.04,0,562,28,57.83
178,480,0,0,0,480,170,0.35,1.2,0,620,28,46.08
179,612,0,0,68,680,170,0.25,1.95,0,558,28,66.43
180,578,0,0,102,680,170,0.25,3.46,0,555,28,65.03
181,437,0,0,49,486,170,0.35,1.96,0,617,28,48.29
182,413,0,0,73,486,170,0.35,2.06,0,616,28,52.98
183,680,0,0,0,680,170,0.25,2.04,0,562,90,60
184,480,0,0,0,480,170,0.35,1.2,0,620,90,48.32
185,612,0,0,68,680,170,0.25,1.95,0,558,90,71.62
186,578,0,0,102,680,170,0.25,3.46,0,555,90,68.56
187,437,0,0,49,486,170,0.35,1.96,0,617,90,52.98
188,413,0,0,73,486,170,0.35,2.06,0,616,90,55.16
